time;A;Bb;B;C;C#;D;D#;E;F;F#;G;G#;A pf;Bb pf;B pf;C pf;C# pf;D pf;D# pf;E pf;F pf;F# pf;G pf;G# pf
230.2;204795/211508;1243940/1216171;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;91020/52877;0/1;Some([-1, 3, 1, 0, -2, 0, 0, -1, -1, 0, 0, 1, 1]);Some([1, 0, 1, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;None;None;None;None;None;None;None;Some([1, 1, 1, 0, -2, 0, 0, -1, -1, 0, 0, 1, 1]);None
230.95;0/1;0/1;0/1;0/1;0/1;1554925/1216171;0/1;0/1;1865910/1216171;0/1;55044345/31620446;2176895/1216171;None;None;None;None;None;Some([1, 0, 2, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;None;Some([1, 1, 1, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;Some([1, 1, 1, 0, -2, -1, 0, -1, -2, 0, 0, 1, 2, 0, 0, 0, 1]);Some([1, 0, 1, 1, -2, 0, 0, -1, -2, 0, 0, 1, 2])
231.69;0/1;0/1;0/1;0/1;102003080/83915799;0/1;4975760/3648513;0/1;1865910/1216171;408012320/251747397;0/1;19903040/10945539;None;None;None;None;Some([2, -1, 1, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None;Some([2, -1, 1, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;Some([1, 1, 1, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);Some([3, -2, 1, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None;Some([3, -2, 1, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2])
233.05;0/1;1243940/1216171;0/1;0/1;0/1;0/1;22017738/15810223;1741516/1216171;0/1;1990304/1216171;2114698/1216171;2239092/1216171;None;Some([1, 0, 1, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;None;None;None;Some([1, 1, 0, 0, -2, -1, 0, -1, -2, 0, 0, 1, 2, 0, 0, 0, 1]);Some([1, 0, 0, 1, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;Some([2, 0, 0, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);Some([2, 0, 0, 0, -2, 0, 1, -1, -2, 0, 0, 1, 2]);Some([1, 2, 0, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2])
234.34;0/1;0/1;3980608/3648513;0/1;0/1;326409856/251747397;0/1;0/1;0/1;1990304/1216171;0/1;0/1;None;None;Some([2, -1, 0, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;None;Some([3, -2, 0, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None;None;None;Some([2, 0, 0, 0, -2, 0, 0, -1, -2, 0, 0, 1, 2]);None;None
235.05;0/1;0/1;1203636344/1090905387;285608624/251747397;0/1;0/1;0/1;40801232/27971933;0/1;408012320/251747397;0/1;0/1;None;None;Some([2, -1, 0, 0, -2, -1, 0, -1, -3, 0, 0, 1, 3, 0, 0, 0, 1]);Some([2, -2, 0, 1, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None;None;None;Some([2, 0, 0, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None;Some([3, -2, 1, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None;None
235.75;81602464/83915799;53531216384/52111711179;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;1305639424/755242191;0/1;Some([2, -1, 0, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);Some([4, -4, 0, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;None;None;None;None;None;None;None;Some([4, -3, 0, 0, -2, 0, 0, -1, -3, 0, 0, 1, 3]);None
236.5;0/1;0/1;0/1;0/1;0/1;66914020480/52111711179;0/1;0/1;26765608192/17370570393;0/1;394792720832/225817415109;93679628672/52111711179;None;None;None;None;None;Some([4, -4, 1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;None;Some([4, -3, 0, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([4, -3, 0, 0, -2, -1, 0, -1, -4, 0, 0, 1, 4, 0, 0, 0, 1]);Some([4, -4, 0, 1, -2, 0, 0, -1, -4, 0, 0, 1, 4])
237.31;0/1;0/1;0/1;0/1;4389559743488/3595708071351;0/1;214124865536/156335133537;0/1;26765608192/17370570393;17558238973952/10787124214053;0/1;856499462144/469005400611;None;None;None;None;Some([5, -5, 0, 0, -2, 0, 0, -1, -5, 0, 0, 1, 5]);None;Some([5, -5, 0, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([4, -3, 0, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);Some([6, -6, 0, 0, -2, 0, 0, -1, -5, 0, 0, 1, 5]);None;Some([6, -6, 0, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4])
238.76;0/1;16850908816/16363580805;0/1;0/1;0/1;0/1;1579170883328/1129087075545;374718514688/260558555895;0/1;428249731072/260558555895;455015339264/260558555895;53531216384/28950950655;None;Some([2, -2, -1, 1, -2, -1, 0, -1, -3, 0, 0, 1, 3, 0, 0, 0, 1]);None;None;None;None;Some([4, -3, -1, 0, -2, -1, 0, -1, -4, 0, 0, 1, 4, 0, 0, 0, 1]);Some([4, -4, -1, 1, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([5, -4, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);Some([5, -4, -1, 0, -2, 0, 1, -1, -4, 0, 0, 1, 4]);Some([4, -2, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4])
240.29;0/1;5567246503936/5471729673795;856499462144/781675667685;0/1;107062432768/86852851965;2997748117504/2345027003055;0/1;3425997848576/2345027003055;0/1;0/1;0/1;856499462144/469005400611;None;Some([5, -5, -1, -1, -2, 1, 0, -1, -4, 0, 0, 1, 4]);Some([5, -5, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([4, -3, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);Some([5, -6, -1, 1, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([6, -6, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;None;None;Some([6, -6, 0, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4])
242.31;0/1;214124865536/213184273005;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;None;Some([5, -6, -1, 0, -1, 0, 0, -1, -4, 0, 0, 1, 4]);None;None;None;None;None;None;None;None;None;None
258.3;6851995697152/7035081009165;0/1;856499462144/781675667685;13703991394304/11725135015275;0/1;1712998924288/1302792779475;0/1;3425997848576/2345027003055;1712998924288/1065921365025;0/1;6851995697152/3908378338425;0/1;Some([6, -7, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([5, -5, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);Some([6, -6, -2, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([5, -4, -2, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([6, -6, -1, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);Some([6, -6, -2, 0, -1, 0, 0, -1, -4, 0, 0, 1, 4]);None;Some([6, -5, -2, 0, -2, 0, 0, -1, -4, 0, 0, 1, 4]);None
271.7;60/61;255/244;135/122;285/244;5/4;80/61;85/61;90/61;95/61;405/244;215/122;455/244;Some([0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([-1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([0, 0, 1]);Some([1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([-1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1]);Some([0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1])
292.06;0/1;255/244;595/549;0/1;595/488;0/1;0/1;0/1;765/488;0/1;425/244;340/183;None;Some([0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, -2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;Some([0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;None;None;Some([0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;Some([1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([2, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1])
297.5;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;1105/732;595/366;0/1;0/1;None;None;None;None;None;None;None;None;Some([1, -1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, -1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;None
300.8;0/1;0/1;595/549;425/366;0/1;4165/3294;0/1;29155/19764;1105/732;595/366;0/1;0/1;None;None;Some([1, -2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, -1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;Some([1, -3, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;Some([1, -4, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, -1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, -1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;None
314.4;119/122;0/1;0/1;0/1;1309/1098;238/183;0/1;0/1;833/549;0/1;0/1;0/1;Some([0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;None;None;Some([1, -2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);Some([1, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;None;Some([1, -2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]);None;None;None
346.1;65/64;25/24;35/32;585/512;5/4;245/192;45/32;2925/2048;25/16;105/64;1755/1024;15/8;Some([-1, 0, 1, 0, 0, 1]);Some([0, -1, 2]);Some([-1, 0, 1, 1]);Some([-2, 2, 1, 0, 0, 1]);Some([0, 0, 1]);Some([-1, -1, 1, 2]);Some([-1, 2, 1]);Some([-2, 2, 2, 0, 0, 1]);Some([0, 0, 2]);Some([-1, 1, 1, 1]);Some([-2, 3, 1, 0, 0, 1]);Some([0, 1, 1])
355.81;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;5/3;0/1;0/1;None;None;None;None;None;None;None;None;None;Some([1, -1, 1]);None;None
